Created result directory '/tmp/benchmarks/20260405T1416-gnr-hft/wult/short'
Created statistics result directory '/tmp/benchmarks/20260405T1416-gnr-hft/wult/short/stats'
No statistics will be collected
wult: notice: C-state prewake is enabled, and this usually hides the real latency when using 'tdt' as delayed event device
Using 'tdt' (TSC deadline timer)
Setting min. launch distance to 1 ns
Stopped the 'systemd-timesyncd' NTP service
Start measuring CPU 1, collecting 1000000 datapoints, time limit is 5h
Calculating TSC rate for 10s
TSC rate is 1899.960392 MHz

Datapoints: 126824, max. latency: 264.73 us, rate: 486.46 datapoints/sec
Datapoints: 127336, max. latency: 264.73 us, rate: 486.51 datapoints/sec
Datapoints: 127845, max. latency: 264.73 us, rate: 486.53 datapoints/sec
Datapoints: 128357, max. latency: 264.73 us, rate: 486.51 datapoints/sec
Datapoints: 128869, max. latency: 264.73 us, rate: 486.57 datapoints/sec
Datapoints: 129381, max. latency: 264.73 us, rate: 486.64 datapoints/sec
Datapoints: 129861, max. latency: 264.73 us, rate: 486.60 datapoints/sec
Datapoints: 130373, max. latency: 264.73 us, rate: 486.63 datapoints/sec
Datapoints: 130885, max. latency: 264.73 us, rate: 486.63 datapoints/sec
Datapoints: 131365, max. latency: 264.73 us, rate: 486.54 datapoints/sec
Datapoints: 131845, max. latency: 264.73 us, rate: 486.49 datapoints/sec
Datapoints: 132357, max. latency: 264.73 us, rate: 486.53 datapoints/sec
Datapoints: 132869, max. latency: 264.73 us, rate: 486.52 datapoints/sec
Datapoints: 133349, max. latency: 264.73 us, rate: 486.45 datapoints/sec
Datapoints: 133829, max. latency: 264.73 us, rate: 486.40 datapoints/sec
Datapoints: 134341, max. latency: 264.73 us, rate: 486.41 datapoints/sec
Datapoints: 134853, max. latency: 264.73 us, rate: 486.38 datapoints/sec
Datapoints: 135365, max. latency: 264.73 us, rate: 486.38 datapoints/sec
Datapoints: 135877, max. latency: 264.73 us, rate: 486.40 datapoints/sec
Datapoints: 136357, max. latency: 264.73 us, rate: 486.38 datapoints/sec
Datapoints: 136837, max. latency: 264.73 us, rate: 486.32 datapoints/sec
Datapoints: 137317, max. latency: 264.73 us, rate: 486.26 datapoints/sec
Datapoints: 137829, max. latency: 264.73 us, rate: 486.29 datapoints/sec
Datapoints: 138341, max. latency: 264.73 us, rate: 486.30 datapoints/sec
Datapoints: 138853, max. latency: 264.73 us, rate: 486.33 datapoints/sec
Datapoints: 139333, max. latency: 264.73 us, rate: 486.25 datapoints/sec
Datapoints: 139845, max. latency: 264.73 us, rate: 486.26 datapoints/sec
Datapoints: 140357, max. latency: 264.73 us, rate: 486.25 datapoints/sec
Datapoints: 140869, max. latency: 264.73 us, rate: 486.27 datapoints/sec
Datapoints: 141381, max. latency: 264.73 us, rate: 486.35 datapoints/sec
Datapoints: 141893, max. latency: 264.73 us, rate: 486.38 datapoints/sec
Datapoints: 142373, max. latency: 264.73 us, rate: 486.31 datapoints/sec
Datapoints: 142884, max. latency: 264.73 us, rate: 486.30 datapoints/sec
Datapoints: 143396, max. latency: 264.73 us, rate: 486.34 datapoints/sec
Datapoints: 143908, max. latency: 264.73 us, rate: 486.38 datapoints/sec
Datapoints: 144420, max. latency: 264.73 us, rate: 486.37 datapoints/sec
Datapoints: 144900, max. latency: 264.73 us, rate: 486.35 datapoints/sec
Datapoints: 145412, max. latency: 264.73 us, rate: 486.37 datapoints/sec
Datapoints: 145924, max. latency: 264.73 us, rate: 486.39 datapoints/sec
Datapoints: 146436, max. latency: 264.73 us, rate: 486.41 datapoints/sec
Datapoints: 146948, max. latency: 264.73 us, rate: 486.41 datapoints/sec
Datapoints: 147460, max. latency: 264.73 us, rate: 486.44 datapoints/sec
Datapoints: 147972, max. latency: 264.73 us, rate: 486.50 datapoints/sec
Datapoints: 148452, max. latency: 264.73 us, rate: 486.48 datapoints/sec
Datapoints: 148964, max. latency: 264.73 us, rate: 486.55 datapoints/sec
Datapoints: 149476, max. latency: 264.73 us, rate: 486.57 datapoints/sec
Datapoints: 149956, max. latency: 264.73 us, rate: 486.55 datapoints/sec
Datapoints: 150468, max. latency: 264.73 us, rate: 486.56 datapoints/sec
Datapoints: 150980, max. latency: 264.73 us, rate: 486.58 datapoints/sec
Datapoints: 151492, max. latency: 264.73 us, rate: 486.63 datapoints/sec
Datapoints: 152003, max. latency: 264.73 us, rate: 486.70 datapoints/sec
Datapoints: 152515, max. latency: 264.73 us, rate: 486.78 datapoints/sec
Datapoints: 152995, max. latency: 264.73 us, rate: 486.73 datapoints/sec
Datapoints: 153475, max. latency: 264.73 us, rate: 486.71 datapoints/sec
Datapoints: 153987, max. latency: 264.73 us, rate: 486.71 datapoints/sec
Datapoints: 154498, max. latency: 264.73 us, rate: 486.72 datapoints/sec
Datapoints: 154978, max. latency: 264.73 us, rate: 486.68 datapoints/sec
Datapoints: 155522, max. latency: 264.73 us, rate: 486.80 datapoints/sec
Datapoints: 156034, max. latency: 264.73 us, rate: 486.80 datapoints/sec
Datapoints: 156546, max. latency: 264.73 us, rate: 486.80 datapoints/sec
Datapoints: 157058, max. latency: 264.73 us, rate: 486.83 datapoints/sec
